 Antigua and Barbuda , 4 July 1974
 The Bahamas , 4 July 1983 
 Barbados , 1 August 1973 
 Belize , 1 May 1974
 Dominica , 1 May 1974
 Grenada , 1 May 1974
 Guyana , 1 August 1973 
 Haiti , 2 July 2002 
 Jamaica , 1 August 1973 
 Saint Kitts and Nevis ,26 July 1974
 Saint Lucia , 1 May 1974
 Saint Vincent and the Grenadines , 1 May 1974
 Suriname , 4 July 1995
 Trinidad and Tobago , 1 August 1973
